A,B,B_val,C,D,E
46660,161300,161300,823.44,399.25,40131
43117,143890,143890,693.41,356.59,30612
40436,,124480,470.05,331.28,18887
38269,110490,110490,375.96,315.74,11369
36219,,98956,285.67,306.97,6439
34058,,89908,296.1,313.84,4436.1
32554,,83581,239.65,324.18,4018.6
31737,,79853,256.67,332.15,4439.6
31454,79124,79124,255.26,343.97,6625.4
31504,,80124,547.05,360.38,8291.6
31680,,80228,437.91,375.08,7616.9
31571,79447,79447,330.53,374.79,6132.5
31122,79111,79111,407.77,367.89,5325
30453,78613,78613,573.88,364.61,5158.5
30429,,81391,5594.9,441.74,6375.5
32930,,98019,9384.5,526.85,8329.5
37930,137530,137530,9379.3,583.69,8790.3
43023,203120,203120,7699.4,656.61,12129
49926,290120,290120,8893.8,686.35,17261
59170,,365450,7948.2,670.66,18046
67882,398980,398980,6586.3,648.66,16882
76352,396150,396150,3051.4,641.67,14151
83802,373710,373710,2119.9,627.49,10668
88971,345480,345480,1718,635.03,10147
90958,316620,316620,1243.7,650.08,10065
89357,289240,289240,1331.6,662.35,9691.2
86317,,267460,1841.2,713.2,9658.1
83981,253780,253780,3074.1,752.08,9380.4
86549,251650,251650,4599.4,760.32,10165
98144,,266880,3898.2,773.09,16071
112840,288460,288460,2935.3,777.63,21962
122220,297230,297230,3249,920.35,23157
127210,297010,297010,3940.8,1039.4,22963
133920,,302220,7389.1,1330.6,21770
143960,316830,316830,5022.6,1549.9,20469
153260,334910,334910,3669.1,1695.9,24045
158230,345200,345200,2831.8,1872,27221
158160,337160,337160,2304.3,1814.3,22648
154440,325850,325850,1562.8,2041.6,27751
147960,319770,319770,1647.6,2235.1,35966
139520,298170,298170,1800.8,2302.4,29290
130870,271330,271330,1536.3,2417.3,20980
123230,255330,255330,1651.4,2494.7,22171
118540,,259070,2540.6,2635.7,37754
118600,277920,277920,2221.4,3095.5,55824
123910,308770,308770,5026.8,3589.1,77977
135770,373750,373750,4773.4,4030.4,112020
153390,437210,437210,5546.3,4548,126740
170120,,472890,5241.7,4889.3,117420
188630,490480,490480,4888.1,5160.3,102280
219350,527810,527810,4845.5,5545.5,107560
251190,,584400,4770.6,5931.1,122230
270040,612930,612930,5884.3,6385.5,119890
281200,,624650,7520,6964.9,108360
300870,649750,649750,10842,7482,93467
345210,712390,712390,7067.9,8236,86718
404910,797810,797810,5053.6,9316.9,87310
444070,833450,833450,3856.4,10224,79048
444940,802290,802290,2739.6,10596,64469
418890,,741540,11168,10572,51924
386400,708150,708150,25077,10395,43290
375780,,780090,16551,10566,48859
391440,,897900,8239.4,11382,58838
